Cluster ID,confidence_score,original_id,first_name,last_name,gender,father
0,0.659398972988,2106,Marth,Sachez,F,Harrry
0,0.691161334515,1995,Erest,Bllack,M,Raymmond
1,0.799592,2833,Micchelle,Fanklin,F,Adaam
1,0.799592,48,Doroty,Tuckeer,F,Caros
2,0.921182,2552,Christtine,Gozalez,F,Ernnest
2,0.921182,2552,Chrstine,Gonzaez,F,Errnest
2,0.921182,2457,Tna,Johnnson,F,yan
3,0.7597119999999999,1312,Denis,Jacbs,F,Fed
3,0.7597119999999999,2060,Rut,Gilbrt,F,Raph
4,0.756134,2902,Toddd,Hughs,M,Patric
4,0.756134,702,Janeet,Westt,F,eorge
5,0.784731030464,1346,Marrilyn,Litle,F,BBruce
5,0.784731030464,1251,Chheryl,Owenns,F,hilip
6,0.47464399999999995,2084,Anie,Gonales,F,Willlie
6,0.47464399999999995,2669,Rosse,Waver,F,Gregoy
7,0.9866879999999999,927,Kellyy,Jorrdan,F,Kenneh
7,0.9866879999999999,927,Kellyy,Jorrdan,F,enneth
7,0.9866879999999999,2474,Pattricia,MMarshall,F,Waler
8,0.81211861968,36,DDoris,Morenno,F,EEdward
10,0.992524,1917,Stephannie,Ruizz,F,Keth
10,0.992524,1845,Carloos,Howll,M,Mak
11,0.9812879999999999,1444,Ramond,Cunninghham,M,Scottt
11,0.9812879999999999,2326,Jmmy,Bennet,M,Joathan
12,0.9286168217659999,804,amuel,Romeo,M,Johnnyy
13,0.806701,1255,Shhawn,Howar,M,Ramond
13,0.806701,1255,SShawn,Howardd,M,Raymmond
14,0.6308020000000001,969,Eliabeth,erguson,F,JJoseph
14,0.6308020000000001,969,Elizabeeth,Feerguson,F,Josepph
14,0.6308020000000001,1905,Denie,Warrren,F,aron
14,0.6308020000000001,969,lizabeth,Fergusn,F,Joseh
15,0.672297,478,Philllip,CCole,M,Shhawn
15,0.672297,1836,Jamees,Eliott,M,Jun
15,0.672297,478,Philllip,Col,M,Shhawn
16,0.9635020000000001,2317,Nichholas,ook,M,Thhomas
17,0.969016,1777,Chri,Coxx,M,Josha
17,0.969016,1074,Marillyn,RRogers,F,Paaul
18,0.9648399999999999,2101,Chri,Weaveer,M,Eugen
18,0.9648399999999999,1921,Lri,Bowwman,F,Matthhew
18,0.9648399999999999,1921,Loori,Bowmann,F,Mathew
19,0.51062,610,Jenniffer,Gilert,F,Aan
19,0.51062,610,Jennifr,Gibert,F,Alann
20,0.9364370000000001,2035,Juaan,Evanss,M,Charrles
21,0.798693,2499,Geald,Morreno,M,Larryy
21,0.798693,2506,Aaro,Dixonn,M,Wllie
22,0.705868,2302,BBobby,Moralles,M,Athur
23,0.8646809999999999,2377,Jery,ing,M,Jacck
23,0.8646809999999999,2377,Jery,Kinng,M,Jak
23,0.8646809999999999,664,Michell,Gardnerr,F,Stevve
24,0.768456935883,294,Kell,Ros,F,Sccott
25,0.965289831161,2233,Rlph,Simmos,M,Keithh
25,0.965289831161,139,elen,Bod,F,SScott
25,0.965289831161,139,Heln,Boydd,F,Sccott
25,0.965289831161,2233,Ralpph,Simons,M,KKeith
26,0.8433430000000001,2930,Chhristine,Car,F,Ricard
26,0.8433430000000001,2930,Chrisine,Car,F,Rihard
26,0.8433430000000001,145,Jonatha,Hun,M,Peteer
27,0.9031549999999999,413,Christtine,DDay,F,Craiig
27,0.9031549999999999,1633,Katheerine,Holms,F,ussell
28,0.9885875582700001,2328,Amyy,Bihop,F,Antoniio
29,0.522103,654,AAmy,Moraes,F,Jooe
29,0.522103,654,Amyy,Moralles,F,Jooe
